MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367125100,2023-06-30T04:31:14,29.32051,-94.85929,0.4,352.9,511.0,CAPT TOM ECHOLS SR,,WDC3771,31,12,20,7,,31,A
367473550,2023-06-30T04:34:44,29.30946,-94.87387,2.4,50.1,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
367473550,2023-06-30T04:24:24,29.30088,-94.88361,6.0,28.5,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
367690010,2023-06-30T04:25:24,29.16311,-95.12971,4.6,56.3,55.0,CAPT PRIMEAUX,,WDI3600,31,12,23,,,57,A
366884150,2023-06-30T04:25:23,29.30525,-94.81893,0.0,277.0,193.0,MARTIN EXPRESS,IMO8644448,WDB3169,31,12,16,6,,57,A
366884150,2023-06-30T04:35:52,29.30526,-94.81893,0.0,333.6,192.0,MARTIN EXPRESS,IMO8644448,WDB3169,31,12,16,6,,57,A
367500410,2023-06-30T04:35:21,29.03275,-95.22967,5.0,198.0,196.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
367751160,2023-06-30T04:25:09,29.31311,-94.80979,0.0,261.4,190.0,CHARLIE C,,WDI9685,31,5,,,,57,A
367008450,2023-06-30T04:29:36,29.22803,-95.02855,4.7,204.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
367008450,2023-06-30T04:35:27,29.22092,-95.03190,4.6,200.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
338168501,2023-06-30T04:34:34,29.29422,-94.85714,0.0,310.3,511.0,HPA FIREBOAT 3,,,90,0,,,,51,A
368052580,2023-06-30T04:28:47,29.30653,-94.82494,0.0,349.4,206.0,WOOD RIVER,IMO101233527,WDK4175,57,12,114,34,3.0,57,A
366812000,2023-06-30T04:29:17,29.29492,-94.85791,0.0,360.0,511.0,BRUTUS,,WDG5253,90,5,30,7,,70,A
366845060,2023-06-30T04:35:22,29.31227,-94.80236,0.0,320.8,511.0,ASHTON T,,WDIJ,90,5,28,7,,60,A
338373465,2023-06-30T04:32:51,29.28414,-94.85756,0.0,334.3,76.0,LIONS DEN,IMO0000000,,37,,6,19,,,B
368272520,2023-06-30T04:25:25,29.17279,-95.11278,4.5,71.2,72.0,ALYS,,WDN3530,31,12,23,9,3.4,57,A
367125100,2023-06-30T04:30:05,29.32044,-94.85927,0.3,224.7,511.0,CAPT TOM ECHOLS SR,,WDC3771,31,12,20,7,,31,A
368052580,2023-06-30T04:34:48,29.30654,-94.82493,0.0,349.4,206.0,WOOD RIVER,IMO101233527,WDK4175,57,12,114,34,3.0,57,A
367666920,2023-06-30T04:35:16,29.25301,-95.00182,5.0,39.2,41.0,BILL SEYMOUR,,WDH9328,31,12,27,,,31,A
338168501,2023-06-30T04:25:14,29.29424,-94.85716,0.0,288.0,511.0,HPA FIREBOAT 3,,,90,0,,,,51,A
368148180,2023-06-30T04:35:43,29.30767,-94.82132,0.0,178.2,194.0,KAMI RENEE,,WDL6178,52,12,22,10,3.3,52,A
367008450,2023-06-30T04:34:26,29.22212,-95.03133,4.6,200.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
366884150,2023-06-30T04:34:43,29.30527,-94.81895,0.0,272.4,191.0,MARTIN EXPRESS,IMO8644448,WDB3169,31,12,16,6,,57,A
367008450,2023-06-30T04:36:37,29.21948,-95.03252,4.6,200.0,511.0,CAPT HERBERT,,WRG8848,31,0,19,7,,52,A
367032830,2023-06-30T04:34:43,29.31235,-94.80471,0.0,317.7,511.0,DULARGE,IMO8767575,WCS8769,90,1,30,14,,39,A
367473550,2023-06-30T04:33:34,29.30896,-94.87456,2.6,51.0,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
367113150,2023-06-30T04:31:51,29.16022,-95.13482,6.4,235.1,237.0,CHRIS PIKE,,WDD2269,31,0,26,9,,31,A
368272520,2023-06-30T04:30:05,29.17421,-95.10636,4.8,79.2,79.0,ALYS,,WDN3530,31,12,23,9,3.4,57,A
245261000,2023-06-30T04:35:08,29.30739,-94.82265,0.0,206.4,212.0,SPUIGRACHT,IMO9202534,PBBB,70,5,173,25,10.6,70,A
367473550,2023-06-30T04:30:15,29.30730,-94.87704,3.6,56.3,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
368119840,2023-06-30T04:36:30,29.28351,-94.85722,0.0,35.3,65.0,WRAPPED UP,IMO0000000,,37,,0,0,,,B
367113150,2023-06-30T04:26:11,29.16598,-95.12548,6.3,236.0,237.0,CHRIS PIKE,,WDD2269,31,0,26,9,,31,A
367473550,2023-06-30T04:35:54,29.31007,-94.87307,3.8,49.3,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
366687000,2023-06-30T04:35:56,29.29493,-94.85792,0.1,360.0,511.0,RMS ORION,,WDG5247,60,5,29,7,,60,A
366687000,2023-06-30T04:26:56,29.29494,-94.85796,0.0,360.0,511.0,RMS ORION,,WDG5247,60,5,29,7,,60,A
368071410,2023-06-30T04:30:35,29.11465,-95.19287,3.5,225.6,228.0,BILLY CENAC,,WDK6121,52,12,21,11,3.0,52,A
367053160,2023-06-30T04:25:59,29.27743,-94.85467,0.0,270.3,511.0,COLONEL,,WCU3258,60,5,38,11,,67,A
367473550,2023-06-30T04:26:44,29.30391,-94.88109,5.8,41.7,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
365973420,2023-06-30T04:30:14,29.30411,-94.88127,7.4,34.2,511.0,CHARLES ALFRED,,WYU9726,31,0,16,6,0.0,31,A
368272520,2023-06-30T04:37:05,29.17674,-95.09607,4.4,59.6,55.0,ALYS,,WDN3530,31,12,23,9,3.4,57,A
368071410,2023-06-30T04:35:44,29.11090,-95.19670,3.4,217.5,223.0,BILLY CENAC,,WDK6121,52,12,21,11,3.0,52,A
368145870,2023-06-30T04:34:19,29.17482,-95.10492,0.1,201.6,511.0,LILLIANNE D,,WDL5939,57,12,123,34,3.1,57,A
338168501,2023-06-30T04:36:55,29.29423,-94.85708,0.0,314.6,511.0,HPA FIREBOAT 3,,,90,0,,,,51,A
